"filename", "language", "PHP", "PostCSS", "SQLite", "JavaScript", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\assests\css\enrollment.css", "PostCSS", 0, 192, 0, 0, 0, 16, 32, 240
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\assests\css\profile.css", "PostCSS", 0, 654, 0, 0, 0, 59, 93, 806
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\assests\css\user_management.css", "PostCSS", 0, 1038, 0, 0, 0, 24, 172, 1234
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\assests\js\chatbot.js", "JavaScript", 0, 0, 0, 874, 0, 24, 69, 967
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\assests\js\dashboard.js", "JavaScript", 0, 0, 0, 484, 0, 25, 74, 583
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\assests\js\user_management.js", "JavaScript", 0, 0, 0, 207, 0, 15, 25, 247
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\courses.php", "PHP", 1538, 0, 0, 0, 0, 57, 206, 1801
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\dashboard.php", "PHP", 831, 0, 0, 0, 0, 23, 92, 946
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\deny_enrollment.php", "PHP", 40, 0, 0, 0, 0, 4, 13, 57
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\enrollment.php", "PHP", 962, 0, 0, 0, 0, 40, 141, 1143
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\get_offering_sections.php", "PHP", 54, 0, 0, 0, 0, 13, 14, 81
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\get_section_offerings.php", "PHP", 66, 0, 0, 0, 0, 10, 14, 90
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\profile.php", "PHP", 386, 0, 0, 0, 0, 16, 45, 447
"c:\xampp\htdocs\SUA-IntelliLearn\public\admin\reopen_enrollment.php", "PHP", 40, 0, 0, 0, 0, 5, 12, 57
